"Event" "Date" "Miyu Yamashita" "KANNA" "Chikage Kiba" "Shoko Nakajima" "Ayumi Takada" "Nonoko" "Yuka Sakazaki" "Ura Erika" "Rika Tatsumi" "Erin" "Saki Akai" "Akane Miura" "Ai Shimizu" "Hyper Misao" "MIZUHO" "Azusa Takigawa" "Saki Akamiya" "Yuu" "Nodoka-Oneesan" "Marika Kobashi" "Candice LeRae" "Maho Kurone" "Hinako" "Reika Saiki" "Mil Clown" "Cherry" "Laura James" "Maki Itoh" "Sakisama" "Martha" "Yuna Manase" "Mizuki" "Yukio Saint Laurent" "Yuki Kamifuku" "Solo Darling" "Meiko Satomura" "Shiro Koshinaka"
"65" "Delicious Sacas Pro Wrestling 2016 Final Show ~Tokyo Joshi Pro~" 2016-07-31 1634.01809360548 1505.66705123405 1572.8018404591 1581.84683851521 1469.17568639486 1563.85866584474 1459.11752797784 1496.75982569338 1396.0366115655 1428.68557217257 1585.39421108462 1562.0416274532 1569.74249502618 1435.63606536624 1424.89474338414 1355.5711114088 1530.73148419417 1611.88132908187 1405.85791081588 1413.02598514756 1683.24424843305 NA NA 1514.01107514154 NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" "Beer Garden Fight 2016" 2016-08-13 1639.01824747929 1512.28681020215 1572.8018404591 1578.80571822907 1469.17568639486 1557.23890687664 1462.42740746189 1496.75982569338 1392.72673208145 1428.68557217257 1585.39421108462 1553.46636999506 1569.74249502618 1429.61234649613 1424.89474338414 1350.57095753499 1530.73148419417 1629.52142569625 1398.50311496716 1415.52606208447 1683.24424843305 1507.35479584873 NA 1511.51099820464 NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" "Kitazawa Love Rin" 2016-08-31 1645.52422780703 1505.78082987441 1572.8018404591 1582.40945160166 1469.17568639486 1544.57579284466 1475.09052149387 1496.75982569338 1399.93419882663 1428.68557217257 1585.39421108462 1561.27470973519 1569.74249502618 1421.92686799538 1424.89474338414 1347.06591227313 1530.73148419417 1625.91769232366 1391.29564822197 1415.52606208447 1683.24424843305 1503.05150137046 NA 1519.19647670539 NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" "Tokyo Game Show 2016 4Gamer.net X TJPW Day 1 Part 1" 2016-09-17 1645.52422780703 1511.76889475084 1572.8018404591 1585.40348403987 1469.17568639486 1544.57579284466 1485.89357022364 1496.75982569338 1399.93419882663 1428.68557217257 1585.39421108462 1561.27470973519 1569.74249502618 1421.92686799538 1424.89474338414 1347.06591227313 1530.73148419417 1622.92365988545 1385.30758334555 1415.52606208447 1683.24424843305 1492.24845264068 NA 1519.19647670539 NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" "Tokyo Game Show 2016 4Gamer.net X TJPW Day 1 Part 2" 2016-09-17 1647.556464128 1511.76889475084 1572.8018404591 1589.46795668181 1469.17568639486 1542.54355652369 1495.34035326175 1496.75982569338 1395.86972618469 1428.68557217257 1585.39421108462 1555.40024655178 1569.74249502618 1431.74265883211 1424.89474338414 1343.49359241845 1530.73148419417 1622.92365988545 1385.30758334555 1405.71027124774 1683.24424843305 1492.24845264068 NA 1519.19647670539 NA NA NA NA NA NA NA NA NA NA NA NA NA
"70" "Tokyo Game Show 2016 4Gamer.net X TJPW Day 2 Part 1" 2016-09-18 1652.22875016985 1498.55151442654 1572.8018404591 1589.46795668181 1469.17568639486 1542.54355652369 1493.00421024082 1496.75982569338 1409.08710650899 1428.68557217257 1585.39421108462 1555.40024655178 1569.74249502618 1431.74265883211 1424.89474338414 1338.8213063766 1530.73148419417 1622.92365988545 1385.30758334555 1408.04641426866 1683.24424843305 1492.24845264068 NA 1519.19647670539 NA NA NA NA NA NA NA NA NA NA NA NA NA
"71" "Tokyo Game Show 2016 4Gamer.net X TJPW Day 2 Part 2" 2016-09-18 1657.03320939634 1498.55151442654 1572.8018404591 1596.74056980773 1469.17568639486 1549.45834087124 1493.00421024082 1496.75982569338 1409.08710650899 1428.68557217257 1585.39421108462 1557.80247616502 1569.74249502618 1424.82787448456 1424.89474338414 1338.8213063766 1530.73148419417 1620.52143027221 1380.50312411906 1408.04641426866 1683.24424843305 1484.97583951477 NA 1519.19647670539 NA NA NA NA NA NA NA NA NA NA NA NA NA
"72" "Shinjuku Love Rin" 2016-09-22 1645.98616751264 1503.48354757234 1572.8018404591 1594.27455323483 1469.17568639486 1556.36691810134 1480.63477966625 1496.75982569338 1421.45653708356 1428.68557217257 1587.86022765752 1555.33645959212 1572.20851159908 1433.55898226335 1424.89474338414 1334.61510979777 1530.73148419417 1631.5684721559 1371.77201634027 1405.3440336174 1683.24424843305 1480.04380636897 NA 1519.19647670539 NA NA NA NA NA NA NA NA NA NA NA NA NA
"73" "Osaka Love Rin" 2016-10-16 1649.01286850083 1503.48354757234 1572.8018404591 1601.10456093869 1469.17568639486 1545.30112997106 1480.63477966625 1496.75982569338 1427.50993905993 1428.68557217257 1587.86022765752 1561.26894145192 1572.20851159908 1425.44833329501 1424.89474338414 1331.37945186135 1530.73148419417 1628.54177116771 1365.71861436389 1399.41155175759 1683.24424843305 1476.44945660153 NA 1530.26226483567 1508.11064896834 NA NA NA NA NA NA NA NA NA NA NA NA
"74" "Yokohama Music & Super Universal Festival Part 1" 2016-10-22 1654.41786733184 1503.48354757234 1572.8018404591 1605.87413440889 1469.17568639486 1545.30112997106 1480.63477966625 1496.75982569338 1424.84524825483 1428.68557217257 1587.86022765752 1561.26894145192 1572.20851159908 1420.1189516848 1424.89474338414 1331.37945186135 1530.73148419417 1633.87115277792 1368.383305169 1394.64197828739 1683.24424843305 1471.04445777052 NA 1530.26226483567 1508.11064896834 NA NA NA NA NA NA NA NA NA NA NA NA
